recordIdentifier,title,date,senders,receivers,mentioned,genre
DE-611-HS-3593664,"Brief von George Gamow an Werner Heisenberg, 28.02.1934",1934-02-28,"Gamow, George (1904-1968)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3595003,"Brief von Max Born, Hedwig Martha Born und Werner Heisenberg an Anna Heisenberg, 11.12.1932",1932-12-11,"Born, Max (1882-1970) /Born, Hedwig Martha (1891-1972) /Heisenberg, Werner (1901-1976)","Heisenberg, Anna (1871-1945)",,Brief
DE-611-HS-3595455,"Brief von Mariane Maar an Werner Heisenberg, 31.03.1933",1933-03-31,"Maar, Mariane","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3595466,"Brief von Mariane Maar an Werner Heisenberg, 24.04.1933",1933-04-24,"Maar, Mariane","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3595471,"Brief von Mariane Maar an Werner Heisenberg, 05.06.1933",1933-06-05,"Maar, Mariane","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3597622,"Brief von Rudolf Ernst Peierls von Cavendish Laboratory an Wolfgang Pauli, 17.07.1933",1933-07-17,"Peierls, Rudolf Ernst (1907-1995) /Cavendish Laboratory (1873-)","Pauli, Wolfgang (1900-1958)",,Brief
DE-611-HS-3597681,"Brief von Georg Placzek von Københavns Universitet. Institut for Teoretisk Fysik an Werner Heisenberg, 28.07.1934",1934-07-28,"Placzek, Georg /Københavns Universitet. Institut for Teoretisk Fysik (1921-1974)","Heisenberg, Werner (1901-1976)","Gamow, George (1904-1968)",Brief
DE-611-HS-3597756,"Brief von Georg Placzek an Werner Heisenberg, 15.04.1934",1934-04-15,"Placzek, Georg","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3597861,"Brief von Ernest Rutherford von Cavendish Laboratory an Werner Heisenberg, 26.03.1934",1934-03-26,"Rutherford, Ernest (1871-1937) /Cavendish Laboratory (1873-)","Heisenberg, Werner (1901-1976)",,Brief
DE-611-HS-3597875,"Brief von Fritz Sauter von Technische Hochschule Berlin. Institut für Theoretische Physik an Werner Heisenberg, 11.10.1933",1933-10-11,"Sauter, Fritz (1906-1983) /Technische Hochschule Berlin. Institut für Theoretische Physik","Heisenberg, Werner (1901-1976)",,Brief
